feature,gain
TE_Airline_Route,31058.798350372585
TE_Airline_Stops,8484.82560865255
Journey_DayOfYear,4367.381839018082
TE_Route,3336.460383588681
No_Meal,1156.0328736151569
Journey_WeekOfYear,818.0515939961188
Duration_Minutes,814.226065029623
Journey_Day,601.9392896527424
Additional_Info,583.8345899803098
Journey_Month,573.863067462109
TE_Route_Leg_2,489.031346257776
TE_Airline,395.2141363534611
Airline_Route_Freq,389.1019463862758
Airline_Freq,350.365994294174
Dep_Cos,341.3335191172082
Dep_Minute,323.555009108386
Dep_Minutes,315.5651188341435
Duration_Per_Stop,307.98860889172647
Day_Flight_Count,279.94972890242934
Arr_Minutes,268.5688225761987
Route_Freq,260.91667686542496
Arr_Cos,254.2229550369084
Journey_DayOfWeek,250.7509257697966
Airline_Route,241.5288337559905
Route_Leg_2_Freq,228.1011618138291
Days_To_Holiday,220.99651942844503
Arr_Sin,202.7141768153524
Dur_over_Journey_Pair_Min,197.65632540755905
Dep_Sin,179.07359628845006
Is_Low_Cost,150.00803908333182
Dur_vs_Journey_Pair_Median,145.08706076000817
Route_Leg_2,143.72548459703103
Route,142.78399435267784
Dur_over_Airline_Route_Min,128.50004659802653
Airline,123.55462665879168
Route_Leg_1,116.18267029128037
Dur_vs_Airline_Route_Median,105.52291777194478
Arr_Minute,92.07334651122801
Duration_Log,83.89837880735286
TE_Journey_Pair,80.16532863257453
Total_Stops,78.8039866774343
Route_Leg_3,59.82677445746958
Source,56.83893988421187
Airline_Stops,48.942190051078796
Arr_Hour,47.343786767916754
Arr_Slot,47.191356947412714
Dep_Slot,40.27104807388969
Dep_Hour,39.3098062176723
Destination,38.15014627762139
Duration_Hours,36.54899106337689
Journey_Pair,31.242361278273165
Is_Premium_Cabin,28.83434297842905
Is_Weekend,17.68430670327507
Journey_Quarter_Day,16.753405465511605
Route_Hops,14.059762388467789
Is_Month_Start,12.731598110869527
Journey_Pair_Freq,6.733279517153278
Is_Holiday_Week,5.639642634429038
Route_Leg_4,5.2837168257683516
Is_Red_Eye,0.7988178920932114
No_Baggage,0.07800197973847389
Is_Month_End,0.0
Is_Multi_Day_Flight,0.0
Is_Direct,0.0
Change_Airports,0.0
Long_Layover,0.0
